id;nom_produit;jhi_desc;tarif_unit;date;duree;lien_img;quantite_totale;quantite_dispo;created_at;update_at;nom_prof;promotion;version;souscategorie_id
1;Cours de piano;Découvrez le monde de la musique à travers les touches du piano! Notre cours de piano offre un voyage passionnant pour les débutants et avancés. Vous développerez des compétences techniques, une expression artistique et un lien profond avec la musique. Rejoignez-nous et embarquez pour une aventure musicale qui enrichira votre vie et vous procurera une joie durable.;20;2023-09-23T11:15:00;1;content/images/course images/piano.jpg;5;4;2023-09-12T00:02:36;2023-09-12T11:15:00;Louis Petit;1;1;1
2;Cours de piano pour enfants;Notre cours est conçu spécialement pour les petits musiciens en pleine croissance, offrant une introduction amusante et éducative au piano. Avec une atmosphère chaleureuse, les enfants apprendront les compétences de base du piano tout en explorant leur créativité musicale. Ce cours est une opportunité de développer la motricité fine, la discipline et l’appréciation de la musique.;30;2023-09-24T11:15:00;2;content/images/course images/piano-enfants.jpg;3;3;2023-09-11T21:13:55;2023-09-12T11:15:01;Romane Richard;10;1;1
3;Cours de violon;Le violon est un instrument incroyable, capable d’exprimer des émotions profondes et de créer des mélodies enchanteresses. En classe, nous apprendrons les techniques fondamentales telles que tenir le violon et l’arc, accorder les cordes et produire les premiers sons. Au fur et à mesure nous explorerons des morceaux de musique de différents styles et époques, vous permettant de développer vos compétences musicales de manière enrichissante.;10;2023-09-28T18:00:00;1;content/images/course images/violon.jpg;1;1;2023-09-12T00:52:11;2023-09-12T11:15:02;Eliot Leroy;30;1;2
4;Cours de batterie;Bienvenue au voyage passionnant de la batterie ! Dans ce cours, nous explorerons le monde palpitant et rythmé des percussions. Ici vous apprendrez les bases pour devenir un batteur habile. Nous allons plonger dans les rythmes et les grooves qui propulsent différents styles musicaux, du rock au jazz et au-delà. Peu importe que vous soyez un débutant absolu ou que vous ayez déjà une certaine expérience, ce cours est pour tous les niveaux.;20;2023-09-12T18:40:00;2;content/images/course images/batterie.jpg;5;2;2023-09-11T12:49:59;2023-09-12T11:15:03;Ambre Muller;1;1;3
5;Cours de gouache pour enfants;Dans ce cours, le peintre montrera aux enfants comment faire de la peinture en gouache. Les enfants captureront les émotions au sein de leurs créations en appliquant des coups de pinceaux. Notre approche pratique et ludique permet aux enfants de développer leurs compétences tout en s’amusant. Rejoignez-nous et regardez vos chefs-d’œuvre prendre vie avec des couleurs vives et une inspiration illimitée !;10;2023-09-27T16:30:00;2;content/images/course images/peinture-enfants.jpg;10;4;2023-09-11T08:23:22;2023-09-12T11:15:04;Auguste Prevost;1;1;4
6;Cours de dessin au fusain;Dans cette classe, nous explorerons la magie de la création visuelle. Préparez-vous à découvrir des techniques de dessin, à explorer votre créativité et à développer des compétences qui vous mèneront dans un monde de possibilités artistiques.  Nous allons dessiner, apprendre et nous inspirer pendant que nous découvrons l’artiste en vous. Commençons à créer des œuvres d’art extraordinaires!;15;2023-09-23T08:15:00;2;content/images/course images/dessin.jpg;7;0;2023-09-11T07:38:35;2023-09-12T11:15:05;Alba Dupuis;1;1;5
7;Cours de danse moderne;Bienvenue dans le monde passionnant de la danse moderne ! Notre cours est la porte d’entrée de l’expression artistique à travers le mouvement contemporain. Si vous recherchez la liberté de mouvement, la créativité et un voyage unique de découverte de soi, vous êtes au bon endroit. Notre équipe vous guidera à travers une variété de techniques et de styles aux chorégraphies les plus innovantes;6;2023-09-27T16:30:00;1;content/images/course images/danse-moderne.jpg;20;4;2023-09-11T19:30:44;2023-09-12T11:15:06;Antoine Riviere;1;1;6
8;Cours de danse classique;La danse classique est une forme d’art incroyablement élégante et expressive, qui combine des mouvements gracieux, une technique raffinée et un récit émotionnel. Si vous êtes désireux de plonger dans ce monde enchanteur et intemporel de la danse, ce cours est l’endroit idéal pour commencer. Rejoignez-nous et embarquez pour ce voyage artistique qui célèbre la beauté, la grâce et la discipline.;12;2023-09-30T09:15:00;1;content/images/course images/danse-classique.jpg;15;10;2023-09-11T19:31:36;2023-09-12T11:15:07;Clara Bonnet;10;1;7
9;Cours de poterie;Découvrez l’art de la poterie avec nous! Notre cours offre un voyage créatif et pratique dans la fabrication de belles pièces. Apprenez des techniques traditionnelles et contemporaines tout en vous exprimant à travers l’argile. Rejoignez-nous pour façonner votre imagination en céramique!;18;2023-09-12T11:15:00;4;content/images/course images/poterie.jpg;10;3;2023-10-02T19:22:50;2023-09-12T11:15:08;Daniel Lambert;20;1;8
10;Cours de crochet;Apprenez à créer des pièces uniques et charmantes avec nos instructions étape par étape. Nos instructeurs vous guideront des points de base aux projets avancés. Rejoignez la communauté créative du crochet et développez des compétences relaxantes et thérapeutiques. Ne manquez pas l’occasion de transformer des fils en belles créations. ;25;2023-10-01T11:15:00;2;content/images/course images/crochet.jpg;6;5;2023-09-11T11:17:45;2023-09-12T11:15:09;Elina Faure;1;1;9
11;Cours de broderie;Découvrez le monde enchanteur de la broderie avec nous ! Notre cours de broderie est l'opportunité parfaite pour déverrouiller votre créativité et vos compétences manuelles. Que vous soyez débutant ou que vous souhaitiez perfectionner vos techniques, notre cours vous offre un environnement inspirant pour donner vie à vos idées d’une manière unique et colorée.;20;2023-09-23T12:45:00;3;content/images/course images/broderie.jpg;7;4;2023-09-11T11:17:46;2023-09-12T11:15:10;Elise Duval;1;1;10
